,timestamp,value
332088,2025-06-13 00:00:08,49.3
332089,2025-06-13 00:00:20,34.1
332091,2025-06-13 00:00:30,0.0
332092,2025-06-13 00:00:31,85.3
332093,2025-06-13 00:00:36,58.3
332096,2025-06-13 00:00:45,12.4
332097,2025-06-13 00:00:46,98.1
332099,2025-06-13 00:00:56,93.7
332100,2025-06-13 00:01:04,77.5
332101,2025-06-13 00:01:07,71.0
332102,2025-06-13 00:01:08,50.6
332103,2025-06-13 00:01:17,67.0
332106,2025-06-13 00:01:21,53.9
332108,2025-06-13 00:01:26,51.3
332109,2025-06-13 00:01:27,0.0
332110,2025-06-13 00:01:29,0.0
332112,2025-06-13 00:01:32,0.1
332113,2025-06-13 00:01:36,5.6
332114,2025-06-13 00:01:38,43.6
332115,2025-06-13 00:01:40,85.2
332116,2025-06-13 00:01:43,17.1
332117,2025-06-13 00:01:45,26.2
332118,2025-06-13 00:01:48,92.8
332119,2025-06-13 00:01:52,36.0
332120,2025-06-13 00:01:57,8.6
332122,2025-06-13 00:01:59,81.0
332123,2025-06-13 00:02:00,17.1
332124,2025-06-13 00:02:06,8.1
332125,2025-06-13 00:02:08,30.8
332126,2025-06-13 00:02:09,43.3
332127,2025-06-13 00:02:14,94.3
332128,2025-06-13 00:02:16,8.4
332130,2025-06-13 00:02:19,23.0
332131,2025-06-13 00:02:21,13.6
332132,2025-06-13 00:02:23,52.9
332133,2025-06-13 00:02:30,78.0
332134,2025-06-13 00:02:32,9.2
332135,2025-06-13 00:02:35,11.4
332136,2025-06-13 00:02:36,46.3
332138,2025-06-13 00:02:41,80.1
332139,2025-06-13 00:02:42,28.7
332142,2025-06-13 00:02:57,35.3
332143,2025-06-13 00:02:58,44.1
332145,2025-06-13 00:03:09,80.8
332146,2025-06-13 00:03:16,78.9
332147,2025-06-13 00:03:17,92.6
332149,2025-06-13 00:03:30,41.5
332150,2025-06-13 00:03:32,2.8
332151,2025-06-13 00:03:40,41.2
332152,2025-06-13 00:03:45,94.7
332153,2025-06-13 00:03:49,95.1
332155,2025-06-13 00:03:51,82.2
332157,2025-06-13 00:03:56,40.6
332159,2025-06-13 00:04:01,15.9
332161,2025-06-13 00:04:07,0.0
332162,2025-06-13 00:04:11,82.0
332163,2025-06-13 00:04:12,37.6
332164,2025-06-13 00:04:14,0.0
332165,2025-06-13 00:04:19,40.0
332167,2025-06-13 00:04:22,7.2
332168,2025-06-13 00:04:23,85.2
332169,2025-06-13 00:04:24,0.0
332170,2025-06-13 00:04:25,73.9
332171,2025-06-13 00:04:26,35.1
332172,2025-06-13 00:04:27,7.4
332174,2025-06-13 00:04:32,0.0
332175,2025-06-13 00:04:35,32.1
332176,2025-06-13 00:04:37,43.4
332178,2025-06-13 00:04:42,22.5
332180,2025-06-13 00:04:46,60.3
332181,2025-06-13 00:04:48,22.1
332182,2025-06-13 00:04:49,77.5
332184,2025-06-13 00:04:56,93.4
332185,2025-06-13 00:05:03,67.0
332186,2025-06-13 00:05:07,69.5
332187,2025-06-13 00:05:10,5.2
332188,2025-06-13 00:05:15,68.2
332189,2025-06-13 00:05:17,42.232
332190,2025-06-13 00:05:18,0.0
332191,2025-06-13 00:05:24,14.4
332192,2025-06-13 00:05:26,3.7
332193,2025-06-13 00:05:32,54.0
332195,2025-06-13 00:05:34,0.0
332196,2025-06-13 00:05:38,8.7
332197,2025-06-13 00:05:43,48.2
332198,2025-06-13 00:05:46,72.1
332199,2025-06-13 00:05:49,15.3
332200,2025-06-13 00:05:50,46.3
332201,2025-06-13 00:06:02,44.7
332202,2025-06-13 00:06:07,12.4
332203,2025-06-13 00:06:09,0.0
332204,2025-06-13 00:06:14,59.2
332206,2025-06-13 00:06:17,88.6
332207,2025-06-13 00:06:23,55.1
332208,2025-06-13 00:06:32,69.4
332209,2025-06-13 00:06:33,7.2
332210,2025-06-13 00:06:36,14.8
332211,2025-06-13 00:06:38,38.6
332212,2025-06-13 00:06:43,91.4
332213,2025-06-13 00:06:44,2.951
332214,2025-06-13 00:06:45,23.0
332215,2025-06-13 00:06:46,66.1
332216,2025-06-13 00:06:49,3.7
332217,2025-06-13 00:06:55,97.8
332218,2025-06-13 00:06:56,39.7
332219,2025-06-13 00:07:01,15.6
332221,2025-06-13 00:07:05,12.0
332222,2025-06-13 00:07:10,55.1
332223,2025-06-13 00:07:11,34.2
332224,2025-06-13 00:07:13,99.0
332225,2025-06-13 00:07:16,56.6
332226,2025-06-13 00:07:17,1.4
332227,2025-06-13 00:07:22,14.8
332228,2025-06-13 00:07:26,14.8
332229,2025-06-13 00:07:29,24.9
332230,2025-06-13 00:07:31,0.0
332231,2025-06-13 00:07:39,45.2
332232,2025-06-13 00:07:41,9271.7
332234,2025-06-13 00:07:47,78.3
332235,2025-06-13 00:07:50,79.3
332236,2025-06-13 00:07:51,49.7
332237,2025-06-13 00:07:52,28.4
332238,2025-06-13 00:07:57,18.1
332239,2025-06-13 00:08:00,54.4
332240,2025-06-13 00:08:11,0.0
332241,2025-06-13 00:08:14,91.1
332242,2025-06-13 00:08:17,25.8
332243,2025-06-13 00:08:19,94.3
332244,2025-06-13 00:08:24,5.7
332245,2025-06-13 00:08:25,50.0
332246,2025-06-13 00:08:27,0.0
332247,2025-06-13 00:08:29,76.9
332248,2025-06-13 00:08:33,0.0
332249,2025-06-13 00:08:34,53.1
332250,2025-06-13 00:08:37,62.5
332252,2025-06-13 00:08:43,20.8
332253,2025-06-13 00:08:49,43.7
332254,2025-06-13 00:08:50,23.9
332256,2025-06-13 00:08:58,59.0
332257,2025-06-13 00:09:01,10.0
332258,2025-06-13 00:09:02,48.1
332260,2025-06-13 00:09:04,61.6
332261,2025-06-13 00:09:06,65.7
332264,2025-06-13 00:09:17,1.3
332265,2025-06-13 00:09:18,14.1
332266,2025-06-13 00:09:20,56.9
332267,2025-06-13 00:09:22,78.2
332269,2025-06-13 00:09:29,31.8
332270,2025-06-13 00:09:30,44.9
332272,2025-06-13 00:09:34,0.0
332273,2025-06-13 00:09:37,90.3
332274,2025-06-13 00:09:39,0.0
332275,2025-06-13 00:09:43,36.6
332276,2025-06-13 00:09:48,25.5
332277,2025-06-13 00:09:54,36.0
332279,2025-06-13 00:09:59,93.3
332280,2025-06-13 00:10:02,45.8
332281,2025-06-13 00:10:07,88.4
332282,2025-06-13 00:10:08,0.0
332283,2025-06-13 00:10:09,54.3
332284,2025-06-13 00:10:11,95.7
332285,2025-06-13 00:10:13,37.6
332286,2025-06-13 00:10:14,80.7
332287,2025-06-13 00:10:20,52.7
332288,2025-06-13 00:10:25,64.8
332289,2025-06-13 00:10:28,13.8
332290,2025-06-13 00:10:30,3.9
332291,2025-06-13 00:10:36,3.7
332292,2025-06-13 00:10:40,70.2
332294,2025-06-13 00:10:45,47.4
332295,2025-06-13 00:10:47,50.2
332296,2025-06-13 00:10:51,76.9
332297,2025-06-13 00:11:02,1.8
332298,2025-06-13 00:11:06,97.6
332299,2025-06-13 00:11:09,74.1
332300,2025-06-13 00:11:11,37.8
332303,2025-06-13 00:11:24,72.6
332304,2025-06-13 00:11:25,90.7
332305,2025-06-13 00:11:26,25.1
332306,2025-06-13 00:11:27,0.0
332308,2025-06-13 00:11:30,60.7
332309,2025-06-13 00:11:31,54.5
332310,2025-06-13 00:11:32,93.0
332311,2025-06-13 00:11:51,45.8
332314,2025-06-13 00:11:56,78.0
332315,2025-06-13 00:11:58,92.6
332316,2025-06-13 00:12:00,0.0
332317,2025-06-13 00:12:01,75.1
332318,2025-06-13 00:12:03,85.6
332319,2025-06-13 00:12:08,94.5
332320,2025-06-13 00:12:12,55.6
332321,2025-06-13 00:12:14,0.0
332323,2025-06-13 00:12:18,91.3
332324,2025-06-13 00:12:21,3.6
332325,2025-06-13 00:12:22,54.9
332326,2025-06-13 00:12:24,0.0
332328,2025-06-13 00:12:32,95.7
332329,2025-06-13 00:12:33,58.7
332330,2025-06-13 00:12:34,16.1
332331,2025-06-13 00:12:35,66.7
332332,2025-06-13 00:12:36,49.1
332333,2025-06-13 00:12:45,58.4
332335,2025-06-13 00:12:51,11.8
332337,2025-06-13 00:12:54,0.0
332338,2025-06-13 00:12:55,8.8
332339,2025-06-13 00:12:59,59.5
332340,2025-06-13 00:13:01,98.3
332342,2025-06-13 00:13:07,39.4
332343,2025-06-13 00:13:17,16.5
332344,2025-06-13 00:13:21,33.6
332345,2025-06-13 00:13:22,48.0
332346,2025-06-13 00:13:28,0.0
332347,2025-06-13 00:13:33,51.6
332348,2025-06-13 00:13:35,67.4
332349,2025-06-13 00:13:36,9.9
332350,2025-06-13 00:13:37,72.1
332351,2025-06-13 00:13:39,6.6
332352,2025-06-13 00:13:40,19.6
332353,2025-06-13 00:13:42,84.3
332355,2025-06-13 00:13:45,65.8
332356,2025-06-13 00:13:48,55.0
332357,2025-06-13 00:13:49,21.6
332358,2025-06-13 00:13:50,0.0
332359,2025-06-13 00:13:53,30.2
332360,2025-06-13 00:13:56,76.3
332361,2025-06-13 00:14:05,16.3
332362,2025-06-13 00:14:06,0.0
332363,2025-06-13 00:14:08,14.4
332364,2025-06-13 00:14:16,43.0
332365,2025-06-13 00:14:19,30.0
332366,2025-06-13 00:14:21,18.1
332367,2025-06-13 00:14:27,65.2
332368,2025-06-13 00:14:33,9.8
332369,2025-06-13 00:14:36,74.5
332370,2025-06-13 00:14:40,69.7
332371,2025-06-13 00:14:53,30.4
332372,2025-06-13 00:14:58,0.0
332373,2025-06-13 00:14:59,37.8
332374,2025-06-13 00:15:07,53.4
332375,2025-06-13 00:15:10,81.4
332376,2025-06-13 00:15:13,0.0
332378,2025-06-13 00:15:15,40.3
332379,2025-06-13 00:15:16,74.0
332380,2025-06-13 00:15:20,79.3
332381,2025-06-13 00:15:21,86.9
332382,2025-06-13 00:15:23,0.0
332383,2025-06-13 00:15:24,54.4
332384,2025-06-13 00:15:27,0.0
332386,2025-06-13 00:15:34,69.6
332387,2025-06-13 00:15:36,0.0
332388,2025-06-13 00:15:37,54.1
332389,2025-06-13 00:15:38,83.2
332390,2025-06-13 00:15:44,74.2
332391,2025-06-13 00:15:45,11.2
332392,2025-06-13 00:15:46,0.0
332393,2025-06-13 00:15:47,90.8
332395,2025-06-13 00:15:55,9.1
332398,2025-06-13 00:16:04,0.0
332399,2025-06-13 00:16:10,0.0
332402,2025-06-13 00:16:18,35.1
332403,2025-06-13 00:16:20,32.8
332404,2025-06-13 00:16:22,84.5
332405,2025-06-13 00:16:28,23.9
332406,2025-06-13 00:16:29,91.5
332407,2025-06-13 00:16:33,89.0
332408,2025-06-13 00:16:34,26.7
332409,2025-06-13 00:16:35,81.4
332410,2025-06-13 00:16:37,14.6
332411,2025-06-13 00:16:40,29.6
332412,2025-06-13 00:16:41,14.5
332413,2025-06-13 00:16:50,856.9
332414,2025-06-13 00:16:54,64.2
332415,2025-06-13 00:16:56,28.7
332416,2025-06-13 00:17:16,31.9
332417,2025-06-13 00:17:17,14.2
332418,2025-06-13 00:17:22,89.0
332419,2025-06-13 00:17:23,54.4
332420,2025-06-13 00:17:26,71.1
332421,2025-06-13 00:17:28,22.8
332422,2025-06-13 00:17:29,0.0
332423,2025-06-13 00:17:32,14.4
332424,2025-06-13 00:17:33,46.4
332425,2025-06-13 00:17:37,76.5
332427,2025-06-13 00:17:39,59.0
332428,2025-06-13 00:17:40,97.5
332429,2025-06-13 00:17:42,1.0
332430,2025-06-13 00:17:43,88.9
332431,2025-06-13 00:17:45,67.2
332433,2025-06-13 00:17:51,0.0
332434,2025-06-13 00:17:54,17.6
332435,2025-06-13 00:17:58,13.9
332436,2025-06-13 00:18:11,0.5
332437,2025-06-13 00:18:12,23.5
332438,2025-06-13 00:18:14,97.6
332439,2025-06-13 00:18:18,43.1
332440,2025-06-13 00:18:21,86.2
332442,2025-06-13 00:18:23,6.6
332443,2025-06-13 00:18:25,58.4
332444,2025-06-13 00:18:28,30.8
332445,2025-06-13 00:18:31,40.1
332446,2025-06-13 00:18:34,7.5
332447,2025-06-13 00:18:35,2.2
332448,2025-06-13 00:18:36,59.5
332452,2025-06-13 00:19:04,40.3
332453,2025-06-13 00:19:05,49.5
332454,2025-06-13 00:19:08,13.8
332455,2025-06-13 00:19:09,78.4
332456,2025-06-13 00:19:10,85.6
332457,2025-06-13 00:19:11,33.2
332459,2025-06-13 00:19:15,79.6
332460,2025-06-13 00:19:17,81.8
332461,2025-06-13 00:19:19,34.0
332462,2025-06-13 00:19:25,70.7
332463,2025-06-13 00:19:27,51.4
332464,2025-06-13 00:19:29,67.4
332465,2025-06-13 00:19:31,77.9
332466,2025-06-13 00:19:34,0.0
332467,2025-06-13 00:19:37,23.6
332469,2025-06-13 00:19:44,32.5
332471,2025-06-13 00:19:48,65.1
332473,2025-06-13 00:19:52,18.9
332474,2025-06-13 00:20:01,7.9
332475,2025-06-13 00:20:02,51.9
332476,2025-06-13 00:20:04,91.5
332477,2025-06-13 00:20:07,39.0
332478,2025-06-13 00:20:09,69.8
332479,2025-06-13 00:20:10,0.0
332481,2025-06-13 00:20:19,2.8
332482,2025-06-13 00:20:21,60.7
332483,2025-06-13 00:20:24,24.4
332485,2025-06-13 00:20:27,33.2
332486,2025-06-13 00:20:30,40.7
332487,2025-06-13 00:20:36,1259.5
332488,2025-06-13 00:20:43,24.6
332489,2025-06-13 00:20:48,65.0
332490,2025-06-13 00:20:55,67.2
332491,2025-06-13 00:20:56,27.0
332493,2025-06-13 00:20:58,89.6
332494,2025-06-13 00:21:05,89.4
332495,2025-06-13 00:21:12,938.8
332496,2025-06-13 00:21:14,10.3
332497,2025-06-13 00:21:15,61.0
332498,2025-06-13 00:21:16,50.6
332499,2025-06-13 00:21:18,14.9
332500,2025-06-13 00:21:22,0.0
